,title,jobFunction,industry
9702,Digital Marketing Specialist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Import and Export', 'Manufacturing', 'Plastics']"
9979,Application Programmer,['IT/Software Development'],['Information Technology Services']
295,Junior Graphic Designer,['Creative/Design/Art'],['Marketing and Advertising']
2701,Customer Service Manager (Mall) | AFGRE | Cairo,['Customer Service/Support'],"['Construction - Residential & Commercial/Office', 'Real Estate/Property Management', 'Retail']"
6393,Microsoft Architect,"['IT/Software Development', 'Engineering - Construction/Civil/Architecture', 'Engineering - Telecom/Technology']",['Information Technology Services']
286,Application Security Engineer - Alexandria,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
210,English Teacher Assistant,['Education/Teaching'],['Education']
8083,Senior Web Designer,"['IT/Software Development', 'Creative/Design/Art']","['Information Technology Services', 'Computer Software', 'Graphic Design']"
8086,Web Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
4562,Accountant - Qalubia,['Accounting/Finance'],"['Financial Services', 'Import and Export', 'Manufacturing']"
5654,System Administrator (Windows),"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services']"
3094,Creative Director,"['Creative/Design/Art', 'Media/Journalism/Publishing']",['Marketing and Advertising']
549,IT Project Coordinator,"['Engineering - Telecom/Technology', 'IT/Software Development', 'Project/Program Management']","['Computer Software', 'Information Technology Services']"
1406,Online English Teachers For Kids,['Education/Teaching'],"['Education', 'E-Learning']"
676,Project Manager - Intern,"['Project/Program Management', 'IT/Software Development']",['Information Technology Services']
4852,Full Stack Developer (Laravel - Yii - Codeigniter),"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Software', 'Information Technology Services']"
9107,ASP.Net Full Stack Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
5963,System Analyst - Fresh Graduate,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
7769,Quality Control/Software Testing Engineer,"['Quality', 'IT/Software Development']","['Engineering Services', 'Computer Software']"
7051,Senior Software Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Manufacturing']
9498,IT Specialist,"['Installation/Maintenance/Repair', 'IT/Software Development']",['Information Technology Services']
8696,Key Accounts Manager,"['Customer Service/Support', 'Sales/Retail']",['Information Technology Services']
9852,Product Activation & Promotion Specialist - Heliopolis Area - Sales,['Sales/Retail'],"['Information Technology Services', 'Healthcare and Medical Services']"
5702,Web Developer (PHP / Laravel / Angular),"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
5264,Senior Software Quality Control Engineer,"['Quality', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Marketing and Advertising']"
9008,Account Executive / BTL,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']",['Marketing and Advertising']
3538,Java Software Engineer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Software', 'Information Technology Services']"
2239,Accountant,['Accounting/Finance'],['Education']
6965,PHP Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Internet/E-commerce', 'Computer Software']"
8177,Product Specialist,['Customer Service/Support'],"['Information Technology Services', 'Computer Software', 'Healthcare and Medical Services']"
4459,Senior .NET Developer - MVC,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
7566,Accountant,['Accounting/Finance'],['Computer Software']
3677,R&D/Quality Control Chemist - Sharqia,"['Quality', 'R&D/Science', 'Analyst/Research']",['Manufacturing']
2154,Marketing Specialist,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']",['Information Technology Services']
5459,Online Tutor – Physics For IGCSE/ SAT (Part Time),"['Education/Teaching', 'Training/Instructor', 'R&D/Science']",['Education']
9478,WordPress Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Internet/E-commerce', 'Computer Software', 'Graphic Design']"
10401,Graphic Designer,"['Creative/Design/Art', 'Marketing/PR/Advertising']","['Graphic Design', 'Marketing and Advertising']"
5127,Digital Marketing Specialist,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Marketing and Advertising', 'Furniture']"
3393,Technical Consultant / Technical Project Manager,"['Installation/Maintenance/Repair', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services', 'Engineering Services']"
10508,Sales Executive,['Sales/Retail'],"['Online Media', 'Translation and Localization', 'Information Technology Services']"
10605,Engineering Recruitment Manager,['Human Resources'],['Healthcare and Medical Services']
1862,Collection Officer,['Accounting/Finance'],['Real Estate/Property Management']
5869,Sales Account Manager,"['Customer Service/Support', 'Sales/Retail']","['Healthcare and Medical Services', 'Internet/E-commerce', 'Business Services - Other']"
7960,Electrical Engineer (Consultant) - Technical Office,['Engineering - Mechanical/Electrical'],['Engineering Services']
3781,Structural Engineer Team Leader,['nan'],"['Engineering Services', 'Architectural and Design Services', 'Construction - Residential & Commercial/Office']"
1201,Enterprise Content Management (ECM) Development Lead,"['IT/Software Development', 'Writing/Editorial', 'Project/Program Management']",['Information Technology Services']
4885,Senior Software Sales ( ERP - Odoo & Other Software),"['IT/Software Development', 'Sales/Retail']","['Computer Software', 'Information Technology Services']"
6790,Accounts Receivable Accountant,['Accounting/Finance'],"['Business Services - Other', 'Real Estate/Property Management', 'Marketing and Advertising']"
6923,Senior PHP Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
6110,ERP Technical Support Agent,"['Accounting/Finance', 'Customer Service/Support', 'IT/Software Development']",['Information Technology Services']
10615,Senior Business Developer,"['Sales/Retail', 'Marketing/PR/Advertising']","['Computer Software', 'Marketing and Advertising', 'Public Relations and Communications']"
8309,Product Manager - Security Solutions,['Business Development'],['Computer Software']
3973,Digital Account Executive,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Marketing and Advertising', 'Media Production']"
7539,Java Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
10276,Business Development Executive,"['Sales/Retail', 'Marketing/PR/Advertising', 'Business Development']",['Marketing and Advertising']
7573,Senior .Net Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Other - Not Classified', 'Information Technology Services', 'Computer Software']"
10731,Medical Representative - Indoor Sales,"['Medical/Healthcare', 'Customer Service/Support', 'Sales/Retail']","['Internet/E-commerce', 'Information Technology Services', 'Marketing and Advertising']"
6436,PHP Developer,['IT/Software Development'],['Computer Software']
4919,Senior Node.js Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
1501,Telemarketing Executive,"['Marketing/PR/Advertising', 'Sales/Retail']","['Computer Software', 'Information Technology Services', 'Marketing and Advertising']"
106,Associate Software Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
6500,Senior .NET Developer (Outsource) - Jeddah,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
5674,Senior Network Engineer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
590,Senior Web Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
6472,Full Stack .NET Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Engineering Services', 'Computer Software']"
6145,UX/UI Designer Lead,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
2287,Finance Manager - Alexandria,['Accounting/Finance'],"['Engineering Services', 'Manufacturing']"
1160,Delivery and Installation Manager,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical']",['Engineering Services']
10087,OpenText ECM Administrator,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
6920,Junior iOS Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
7222,Admin Manager - (Elwahat Elbahria Farms),"['Accounting/Finance', 'Administration']","['FMCG', 'Food and Beverage Production', 'Manufacturing']"
4950,Injection Production Engineer - Beni Suef,"['Engineering - Mechanical/Electrical', 'Manufacturing/Production']","['Manufacturing', 'Plastics']"
9365,Software Tester,"['Quality', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services', 'Engineering Services']"
10539,Sales Account Manager - Cairo,"['Customer Service/Support', 'Sales/Retail']","['Information Technology Services', 'Marketing and Advertising']"
4403,Account Manager Assistant,"['Administration', 'Customer Service/Support', 'Marketing/PR/Advertising']","['Marketing and Advertising', 'Media Production', 'Entertainment']"
2992,Microsoft Dynamics 365/AX Developer - Technical Consultant,"['Installation/Maintenance/Repair', 'IT/Software Development']","['Information Technology Services', 'Computer and Network Security', 'Computer Software']"
9713,Sales Account Manager,"['IT/Software Development', 'Sales/Retail']",['Information Technology Services']
1511,UX Designer In India - GT,"['IT/Software Development', 'Creative/Design/Art']","['Non-Profit Organizations', 'Computer Software', 'Graphic Design']"
5466,English Chat Customer Care Moderator - English Speaker,['Customer Service/Support'],['Computer Software']
5909,Receptionist - CRM,"['Administration', 'Customer Service/Support']","['Manufacturing', 'Consumer Electronics']"
6182,Implementation Engineer (Educational Domain),"['Installation/Maintenance/Repair', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services']"
2826,3D Exhibitions Designer,['Creative/Design/Art'],['Marketing and Advertising']
9539,Senior PHP - Symfony Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
8753,Junior Front End Web Developer - Angular,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Real Estate/Property Management', 'Information Technology Services']"
8622,Real Estate Sales Executive ( Experience in new cairo),['Sales/Retail'],['Real Estate/Property Management']
3872,Marketing & Corporate Communication Specialist,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']",['Marketing and Advertising']
8101,Database Administrator,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer and Network Security', 'Information Technology Services']"
5022,Systems & Applications Engineer,"['IT/Software Development', 'Installation/Maintenance/Repair', 'Engineering - Telecom/Technology']",['Information Technology Services']
9457,Accounting Manager,['Accounting/Finance'],['Marketing and Advertising']
8066,Senior Front End Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Internet/E-commerce', 'Computer Software', 'Financial Services']"
29,Sales Coordinator/Telesales,"['Administration', 'Operations/Management', 'Sales/Retail']",['Information Technology Services']
7091,Microsoft Dynamics 365/AX Developer - Technical Consultant,"['IT/Software Development', 'Installation/Maintenance/Repair']","['Computer Software', 'Information Technology Services', 'Computer and Network Security']"
3033,Telemarketing Specialist,"['Sales/Retail', 'Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Computer Software', 'Computer Networking', 'Information Technology Services']"
4622,Android Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
465,Front Office Administrator,['Administration'],['Real Estate/Property Management']
9736,Senior Personnel & Payroll Specialist,['Human Resources'],"['Retail', 'Manufacturing']"
8547,Senior Odoo Implementer,"['IT/Software Development', 'Accounting/Finance']","['Information Technology Services', 'Marketing and Advertising', 'Computer Software']"
568,Web Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services', 'Computer and Network Security']"
8149,Senior Graphic Designer - Alexandria,['Creative/Design/Art'],['Marketing and Advertising']
2927,Senior .Net Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Networking', 'Computer Software']"
5682,Social Media Executive - Night Shift,"['Media/Journalism/Publishing', 'Analyst/Research', 'Marketing/PR/Advertising']","['Marketing and Advertising', 'Research']"
217,Junior Accountant,['Accounting/Finance'],['Real Estate/Property Management']
8354,Finance Manager,['nan'],"['Construction - Residential & Commercial/Office', 'Retail', 'Real Estate/Property Management']"
6030,Online Accounting Teacher,"['Accounting/Finance', 'Education/Teaching']","['Outsourcing/Offshoring', 'Information Technology Services', 'Marketing and Advertising']"
108,WordPress Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
6930,Sales Engineer,"['Sales/Retail', 'Engineering - Telecom/Technology']","['Engineering Services', 'Computer Software']"
2069,Senior Full Stack Engineer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Financial Services', 'Information Technology Services']"
9048,Senior Social Media Specialist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']",['Marketing and Advertising']
1833,Front-End Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
9194,Senior PHP Developer - Codeigniter/Laravel,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Internet/E-commerce', 'Computer Software', 'Graphic Design']"
8910,Medical Representative - Shubra El Khaima,"['R&D/Science', 'Medical/Healthcare', 'Pharmaceutical']","['Internet/E-commerce', 'Information Technology Services', 'Healthcare and Medical Services']"
4076,Application Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Software', 'Information Technology Services']"
8045,Marketing Specialist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']",['Real Estate/Property Management']
5114,Internship - Business Development Intern,['Business Development'],['Information Technology Services']
2847,Sales Account Manager,"['Sales/Retail', 'Customer Service/Support']","['Business Services - Other', 'Internet/E-commerce', 'Healthcare and Medical Services']"
1090,Software Product Manager,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Marketing/PR/Advertising']",['Computer Software']
7436,React Native Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
9989,UI/UX Web Designer,"['Creative/Design/Art', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Graphic Design', 'Information Technology Services', 'Marketing and Advertising']"
4169,Java Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Logistics and Supply Chain', 'Information Technology Services']"
9918,Logistics Coordinator,['Logistics/Supply Chain'],['Manufacturing']
2519,Senior iOS Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
7640,Business Developer,"['Business Development', 'Sales/Retail']","['Marketing and Advertising', 'Entertainment', 'Training and Coaching']"
10810,Senior Software Quality Control Engineer,"['Quality', 'IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
9304,Ophthalmology Consultant /Saudi Arabia,['Medical/Healthcare'],['Healthcare and Medical Services']
6105,IT Help Desk,"['Installation/Maintenance/Repair', 'IT/Software Development']",['Information Technology Services']
1594,Data Manager,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Telecommunications', 'Banking']"
1744,HR Executive,['Human Resources'],"['Accounting and Auditing Services', 'Information Technology Services', 'Human Resources']"
8746,FrontEnd Developer (jQuery),"['IT/Software Development', 'Engineering - Telecom/Technology']","['Internet/E-commerce', 'Computer Software']"
7745,Senior PHP Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
10218,Accountant,['Accounting/Finance'],['Marketing and Advertising']
10420,iOS Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
7093,Graphic Designer,['Creative/Design/Art'],['Marketing and Advertising']
4486,Medical Project Officer - Alexandria,"['Pharmaceutical', 'R&D/Science', 'Project/Program Management']","['Pharmaceuticals', 'Marketing and Advertising', 'Healthcare and Medical Services']"
3660,Legal Affairs Manager,['Legal'],"['Real Estate/Property Management', 'Construction - Residential & Commercial/Office']"
3013,Senior Front-End Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
576,Production Engineer,"['Engineering - Mechanical/Electrical', 'Manufacturing/Production']",['Engineering Services']
8029,Java Architect,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
7558,Executive Secretary,['Administration'],['Education']
1786,React Native Mobile App Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services', 'Entertainment']"
7925,Senior Back End Web Developer - PHP,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Real Estate/Property Management']"
7529,Technical Support Representative - Spanish,['Customer Service/Support'],"['Information Technology Services', 'Financial Services']"
3860,Territory Channel Manager,"['Sales/Retail', 'Business Development']",['Education']
2517,Huawei Field Network Engineer,"['Installation/Maintenance/Repair', 'Engineering - Telecom/Technology', 'Project/Program Management']","['Telecommunications', 'Information Technology Services', 'Security and Surveillance']"
10285,Maintenance Manager - Alexandria,"['Installation/Maintenance/Repair', 'Engineering - Other']",['Manufacturing']
5481,Java Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
10,Senior Sales Representative,"['Sales/Retail', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing']",['Marketing and Advertising']
6088,Software Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Manufacturing']
4127,.Net Team Leader,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Engineering Services', 'Computer Software']"
1217,Social Media Executive,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Marketing and Advertising', 'Writing and Editing', 'Market Research']"
4850,DevOps Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services']"
4626,Senior Front End Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services']"
718,Technical Office Engineer/ Civil,['nan'],"['Construction - Residential & Commercial/Office', 'Construction - Industrial Facilities and Infrastructure']"
5580,Admin Assistant,['Administration'],"['Information Technology Services', 'Apparel and Fashion', 'Engineering Services']"
1595,Treasury Accountant,['Accounting/Finance'],['Marketing and Advertising']
4448,Marketing Executive,['Marketing/PR/Advertising'],['Marketing and Advertising']
9847,Accountant - Tanta,['Accounting/Finance'],"['Medical Devices and Supplies', 'Healthcare and Medical Services']"
736,Account Manager,"['Customer Service/Support', 'Marketing/PR/Advertising']",['Marketing and Advertising']
735,Deputy Technical Affairs Manager,['Engineering - Construction/Civil/Architecture'],"['Architectural and Design Services', 'Real Estate/Property Management']"
3737,Sales Executive (Advertising),['Sales/Retail'],"['Marketing and Advertising', 'Public Relations and Communications', 'Journalism']"
9864,Senior HVAC Engineer,['nan'],"['Construction - Residential & Commercial/Office', 'Hospitality/Hotels', 'Real Estate/Property Management']"
2388,Marketing & Corporate Communication Specialist,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']",['Marketing and Advertising']
92,Mid Senior Web Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software', 'Graphic Design']"
3050,Senior Software Sales Specialist,"['IT/Software Development', 'Sales/Retail']","['Internet/E-commerce', 'Information Technology Services', 'Computer Software']"
5365,Senior Testing Engineer,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Quality']","['Internet/E-commerce', 'Information Technology Services', 'Computer Software']"
8026,Social Media Manager,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']",['Marketing and Advertising']
